RECIPE_ID,COOKING_NO,COOKING_DC
115,1,계란은 1인분에 2개씩해서 1인분씩 만든다. 계란을 잘 풀어서 소금 1/6작은술과 후춧가루를 잘 섞은 후 우유 1큰술을 넣고 잘 섞어준다.
115,2,달군 팬에 식용유를 두르고 ①을 한번에 부어 젓가락으로 재빨리 휘저으면서 넓게 부친다. 안쪽은 반숙상태가 되도록한다.
115,3,반숙이 되면 불을 약하게 하고 뒤집개로 계란을 먼 쪽에서 가까운 쪽으로 겹치며 모양을 만든다. 이때 버터 1/2큰술을 넣고 반달모양에서 배모양으로 만들고 뒤집어서 노릇하게 부쳐낸다. 기호에 따라 토마토케첩을 살짝 뿌린다.
116,1,양배추는 밑동을 도려내고 끓는 물을 부어 살짝 데친다. 데치는 동안 한번 뒤집어주고 끓으면 뒤집어서 건져낸다.
116,2,양배추를 찬물에 헹구고 잎 4장을 잘 벗겨낸다.
116,3,"다진고기에 계란, 후춧가루, 넛맥,빵가루를 섞고 곱게 다진 양파와 당근을 넣어 섞는다. 끈기가 나도록 잘 이겨 4등분한다."
116,4,양배추잎은 심결대로 펴고 소를 뭉쳐 앞쪽에 둔다. 돌돌 말아 소를 싸고 이쑤시개로 꽂아 고정시켜 놓는다.
116,5,"냄비에 양배추말이를 넣고 수프를 가득부어 소근, 후추, 간장을 약간씩 넣고 냄비보다 작은 기름종이를 얹은 다음 뚜껑을 닫아 중불에서 약불로 조절해가며 20분정도 끓인다."
116,6,다 익으면 건져내 이쑤시개를 빼고 2등분하여 접시에 담아낸다.
117,1,두부는 6등분하여 끓는 물에 살짝 데친 뒤 물기를 제거하여 냉장고에 넣어 차게 식힌다.
117,2,미역은 충분히 불려 다져 놓는다.
117,3,양파는 곱게 다져서 물에 씻어 매운기를 뺀뒤 물기를 꼭 짠다.
117,4,홍고추는 곱게 다지고 분량의 양념 재료를 섞어 소스를 만들어둔다.
117,5,차게 해놓은 두부는 접시에 보기좋게 담는다.
117,6,"두부 위에 다진 미역을 얹고, 그 위에 다진 양파와 홍고추를 얹고 소스를 끼얹어 낸다."
118,1,계란은 풀어서 소금으로 간을 맞춘다.
118,2,"돼지고기와 당근, 양파는 0.7cm 크기로 썬다."
118,3,말린 표고 버섯은 미지근한 물에 불려 기둥을 떼어내고 0.7cm 크기로 썬다.
118,4,대파는 굵게 다진다.
118,5,식용유를 넉넉히 두른 프라이팬에 계란을 넣어 젓가락으로 휘저어 익힌 뒤 꺼낸다.
118,6,"식용유를 두른 프라이팬에 돼지고기를 넣어 볶다가 당근, 양파, 표고버섯을 넣어 볶는다."
119,1,배추김치는 속을 털어 1cm 폭으로 송송 썰고 표고버섯은 미지근한 물에 불린 후 가늘게 채썬다.
119,2,"콩나물은 깨끗이 씻어 건지고, 당근은 껍질을 벗겨 가늘게 채썰고 대파, 홍고추, 청고추는 어슷썬다."
119,3,"햄은 5cm 길이로 가늘게 채썰고, 게맛살은 5cm 길이로 잘라 손으로 가늘게 찢는다."
119,4,"끓는 물에 라면과 당근, 콩나물을 넣고 뚜껑을 덮어 끓이다 한소끔 끓으면 라면수프와 고춧가루를 풀고 햄, 게맛살, 파, 고추, 다진 마늘을 넣고 뜸들인다."
119,5,재료가 다 익으면 그릇에 담아 낸다.
120,1,계란은 소금으로 간하여 지름 12cm 정도로 얇게 지단을 부친다.
120,2,미나리는 살짝 데쳐서 물기를 꼭 짜고 치커리는 4cm 길이로 썰어둔다.
120,3,"새우는 껍질과 내장을 제거한 뒤 끓는 물에 데치고, 맛살은 5cm 길이로 잘라 잘게 찢어 물에 담갔다 건져 물기를 제거한다."
120,4,국수는 삶아서 헹군 뒤 사리를 지어 소쿠리에 밭쳐놓는다.
120,5,"계란 지단을 펴서 치커리, 국수, 게맛살을 놓고 말아 미나리로 묶어주고 위에 새우를 얹는다."
120,6,분량의 양념 재료를 섞어 간장소스를 만들어 곁들여 낸다.
121,1,꽁치는 머리와 꼬리를 떼어내고 두 토막내어 내장을 뺀 뒤 소금을 뿌려놓는다.
121,2,실파는 송송 썬다.
121,3,조림장은 은근한 불에서 걸쭉하게 조린다.
121,4,꽁치는 물기를 빼고 석쇠나 그릴에서 앞뒤로 구운 뒤 조림장을 2~3회 발라가며 구워낸다.
121,5,그릇에 담고 실파를 얹는다.
122,1,감자는 0.3cm 두께로 채썰어 물에 담갔다 건져서 물기를 뺀다.
122,2,"청고추, 홍고추는 반으로 갈라 씨를 빼고 4cm 길이로 채썬다."
122,3,"프라이팬에 식용유를 두르고 채 썬 감자를 볶는다. 볶을때 소금, 흰후춧가루, 설탕 약간씩을 넣고 달달 볶는다."
122,4,③번 감자가 다 볶아지면 ②번 고추를 넣고 한번 섞어준 다음 바로 불을 끈다.
123,1,가는 파는 다듬어 씻은 뒤 4cm 길이로 썰고 양파는 채썬다.
123,2,돼지고기는 5cm 길이로 채썰어 청주와 간장에 버무린다.
123,3,"굵은파는 굵게 다지고 마늘, 생강은 곱게 다진다."
123,4,"식용유를 두른 프라이팬에 다진 굵은파, 다진 마늘, 생강을 볶은 뒤 간장을 넣는다."
123,5,돼지고기를 볶다가 양파를 넣는다.
123,6,"가는파를 넣어 살짝 볶은 뒤 소금, 후춧가루, 참기름을 넣는다."
124,1,"도토리묵과 청포묵, 오이, 게맛살을 사방 1.5cm 크기로 썬다."
124,2,분량의 양념장을 만든다.
124,3,준비한 재료를 그릇에 담고 양념장을 끼얹는다.
125,1,"고등어는 머리, 꼬리를 떼어내고 내장을 뺀 뒤 양쪽실을 떼어낸다. 한 입 크기로 썰어서 소금, 청주를 뿌리고 15분쯤 재워 놓는다."
125,2,마른 고추는 2등분하고 생강은 편으로 썬다.
125,3,고등어에 녹말가루를 묻혀 170℃의 식용유에서 노릇노릇하게 튀겨낸다.
125,4,냄비에 분량의 양념 재료를 넣고 약간 끈기있게 졸여서 소스를 만든다.
125,5,그릇에 고등어를 담고 소스를 끼얹는다.
126,1,가지는 옆으로 반 갈라 김이 오른 찜통이나 밥솥에 넣고 쪄낸 뒤 젓가락으로 찢는다.
126,2,마른 새우는 식용유를 두른 프라이팬에 바삭하게 볶는다.
126,3,분량의 양념장을 만든다.
126,4,가지에 양념장을 넣어 버무린 다음 볶아낸 새우와 함께 그릇에 담는다.
127,1,"냄비에 물, 다시마, 육수를 부어 놓는다."
127,2,"부추는 깨끗이 다듬고 씻은 후 6cm 길이로 썰고, 팽이버섯은 밑동을 잘라내고 씻어낸 후 물기를 뺀다."
127,3,당근도 6cm 길이로 채썬다.
127,4,"소스를 만든다. (분마기에 깨와 된장을 넣고 갈다가 설탕, 간장, 술을 조금씩 부어 가면서 갈아낸다.)"
127,5,"고기를 10~12cm 길이로 잘라 도마 위에 펴놓고, 준비한 채소를 조금씩 놓고 돌돌 말아낸다."
127,6,냄비에 담가놓았던 다시마가 불면 냄비를 불에 올려서 끓인다.
128,1,양파는 곱게 다져 물기를 빼준 후 달구어진 프라이팬에 기름을 두르고 갈색이 나도록 볶아둔다.
128,2,소갈비는 살을 발라 곱게 다져 분량의 양념 재료를 넣어 양념해 골고루 끈기가 나도록 치댄다.
128,3,살을 발라낸 갈비에 밀가루를 바르고 ②를 양면으로 도톰하게 바른다.
128,4,석쇠에 호일을 깔고 기름을 발라 고기를 얹은 후 뒤집어가며 구워낸다.
129,1,골뱅이는 체에 밭쳐 물기를 뺀 다음 먹기 좋게 반으로 썬다.
129,2,오이는 두께 0.5cm 통으로 썬다.
129,3,"대파와 당근은 두께 0.2cm, 가로x세로 0.2cm X 4cm 로 썬다."
129,4,양파는 두께 0.5cm로 채썬다.
129,5,샐러리는 두께 0.2cm 통으로 썬다.
129,6,양념 재료를 섞어둔다.
130,1,"두부는 가로 2cm, 세로 3cm, 두께 0.5cm로 썰어 소금을 뿌려 두었다가 물기를 없앤다."
130,2,양념재료를 섞어 양념장을 만든다.
130,3,식용유를 두른 프라이팬에 두부를 앞뒤로 노릇노릇하게 부쳐낸다.
130,4,양념장을 걸쭉하게 졸여서 지진 두부에 바른다.
130,5,다져놓은 홍고추와 통깨를 각각 얹는다.
131,1,냉동 쇠고기(우둔살)를 얇게 채썬다.
131,2,"양념 재료를 섞어 양념을 만들고, 그릇에 썰어놓은 쇠고기를 담고 양념을 뿌려 잘 버무린다."
131,3,접시에 상추를 깔고 양념한 쇠고기를 동그랗게 모양내어 담은 뒤 윗부분에 엄지손가락으로 오목하게 홈을 만든다.
131,4,홈에 날계란 노른자를 얹는다. 노른자 둘레에는 잣가루를 뿌리고 노른자 윗부분을 잣으로 장식한다.
131,5,"배와 오이를 길이 5cm, 폭 4mm로 채썰어 양 끝을 가지런히 모아 칼로 정리한다."
131,6,배와 오이로 주변을 장식하여 마무리한다.
132,1,"스파게티는 끓는 물에 소금과 식용유를 약간씩 넣은 뒤 15분 쯤 삶아낸 후, 찬물에 헹궈 체에 밭쳐 놓는다."
132,2,햄과 베이컨은 길고 얇게 채썰어 놓고 양파는 잘게 다져 놓는다.
132,3,"냄비에 버터를 넣고 중불에서 녹인 다음, 베이컨과 햄을 볶다가 다진 양파를 넣고 볶는다."
132,4,③에 바질을 넣고 살짝 볶다가 와인을 넣는다.
132,5,"④에 생크림과 우유를 넣고 양이 반으로 졸면 담가놓은 스파게티 면의 물기를 뺀 뒤, 프라이팬에 크림과 함께 넣고 볶아 소금, 후추로 간을 한다."
133,1,"닭은 내장을 제거하여 깨끗이 씻고, 찹쌀은 씻어 1시간 정도 물에 불린 후 건진다."
133,2,대추는 돌려 깎아 씨를 빼고 수삼은 씻어 잔뿌리를 제거한다.
133,3,"닭 속에 찹쌀, 마늘, 대추, 수삼을 넣는다."
133,4,왼쪽 다리 안쪽에 칼집을 넣어 그 사이에 오른쪽 다리를 넣어 꼬아준다.
133,5,"생강은 얇게 편썰어 준비한 후 냄비에 닭과 대파, 생강, 물을 넣어 끓인다."
133,6,센불에서 끓인 후 불을 줄여 1시간 정도 푹 고아준다.
134,1,다진 쇠고기는 분량의 양념을 한 뒤 프라이팬에 식용유를 두르고 볶아낸다.
134,2,토마토는 8등분하여 두고 당근과 피망을 잘게 다진다.
134,3,당근과 피망을 쇠고기와 함께 볶다가 밥을 넣고 볶으면서 소금과 후춧가루로 간을 한다.
134,4,하트모양 틀에 볶아낸 밥을 60g씩 떠서 채운 뒤 모양을 만들어 떼어낸다.
134,5,도시락 밑에 상추를 깔고 밥을 담아 사이사이에 토마토를 놓은 뒤 가운데에 파슬리를 올린다.
135,1,유부는 끓는 물에 살짝 데쳐낸 뒤 물기를 짜고 끝을 잘라서 주머니를 만든다.
135,2,"맛살은 다져놓고, 실파는 줄기 10개는 따로 데쳐서 준비하고 나머지는 송송 썬다."
135,3,"계란은 잘 풀어서 실파, 맛살을 넣고 소금, 후춧가루로 간을 맞춘다."
135,4,유부 속에 ③을 넣고 살짝 데친 실파로 묶는다.
135,5,"내열 용기에 물, 간장, 설탕을 넣고 잘 섞어서 유부가 넘어지지 않게 놓은 뒤 랩을 씌워 전자레인지에서 3분 동안 익힌다."
136,1,감자는 깨끗이 씻어 껍질째 찜통에서 찐다.(전자레인지에서 익혀도 된다.)
136,2,후루츠칵테일은 체에 받쳐 물기를 없앤다.
136,3,익힌 감자를 반으로 잘라 바깥쪽에서 1cm 쯤을 남겨두고 속을 파낸다.
136,4,"파낸 속을 모아서 뜨거울 때 버터, 우유, 설탕, 계핏가루, 다진 파슬리를 넣고 버무린다."
136,5,④를 다시 감자에 넣어 채운 다음 파슬리로 장식한다.
136,6,"도시락에 치커리를 깔고 감자를 담고, 은박컵에 후루츠칵테일을 담아 케첩과 함께 넣는다."
137,1,쇠고기는 곱게 다져 양념을 해 잘 버무려두었다 양념이 충분히 배어 들면 식빵 크기가 되도록 모양을 잡는다.
137,2,프라이팬이나 오븐에 ①의 쇠고기를 익힌다.
137,3,식빵은 노릇하게 굽고 토마토는 슬라이스해둔다.
137,4,양상추는 씻어 식빵 크기로 뜯어둔다.
137,5,"버터, 겨자, 소금, 후춧가루를 넣어 겨자버터를 만들어서 구워둔 식빵의 한쪽면에 바른다."
137,6,식빵 위에 양상추 → 떡갈비(②) → 슬라이스치즈 → 토마토 슬라이스 → 피클을 순서대로 올린 후 겨자버터를 바른 식빵으로 덮는다.
138,1,쇠고기는 채썰어 분량의 양념에 재워둔다.
138,2,"느타리와 표고버섯은 끓는 물에 데쳐 가늘게 찢고 양송이버섯은 껍질을 벗겨 얇게 썰고, 목이버섯은 물에 불려 씻은 후 먹기 좋게 뜯어 놓고 팽이버섯은 밑둥을 잘라낸다."
138,3,"양파는 가늘게 채썰고 풋고추, 당근은 길이 4cm, 두께 0.3cm로 채썰고, 미나리는 다듬어 4cm 길이로 준비하고 쇠고기는 야채와 같은 크기로 채썰어 준비한다."
138,4,프라이팬에 식용유를 두르고 양파를 볶다가 투명해지면 고기를 넣어 볶아준다.
138,5,"당근과 준비된 버섯을 넣고 간장, 설탕, 청주를 넣어 살짝 볶는다."
138,6,"⑤에 육수와 녹말가루를 섞어 자작하게 붓고 미나리와 들깨가루를 넣은 후 참기름, 후춧가루로 마무리한다."
139,1,닭고기는 기름기를 제거하고 소금과 요리술을 뿌려 두었다가 김 오른 찜통에 찐 뒤 식혀서 가늘게 찢어 놓는다.
139,2,"오이는 소금에 문질러 씻어서 길이 4cm, 폭 1cm로 썰고, 배는 껍질을 벗겨 씨를 도려낸 다음 오이와 같은 크기로 썰어 설탕물에 담갔다가 건진다."
139,3,양상추는 손으로 뜯어서 물에 담그고 수삼은 칼등으로 긁어 잔털과 껍질을 벗긴 후 씨를 도려낸 다음 오이와 같은 크기로 썰어 설탕물에 담갔다가 건진다.
139,4,대추는 돌려 깎아 씨를 발라내어 3등분하고 밤은 얇게 저며 썰어서 찬물에 씻어 건진다.
139,5,분량의 재료를 섞어 머스터드 마요네즈를 만든다.
139,6,재료와 머스터드 마요네즈를 버무려 완성한다.
140,1,"오징어는 다리를 잡아당겨 내장을 빼낸 뒤, 몸통 속에 손을 넣어 찌꺼기를 긁어낸다."
140,2,손에 소금을 묻혀서 껍질을 벗기고 깨끗이 씻은 뒤 끓는 물에 소금을 넣고 삶아 건져서 5cm 두께로 썬다.
140,3,새우는 꼬치로 등 쪽의 내장을 빼고 엷은 소금물로 씻은 뒤 끓는 물에 소금을 약간 넣고 삶아서 껍질을 벗긴다.
140,4,컬리플라워는 작게 송이를 떼어 엷은 소금물에 살짝 데친다.
140,5,"접시에 컬리플라워와 오징어, 새우를 얹고 머스터드 마요네즈를 곁들인다."
141,1,"사과는 깨끗이 씻어서 길이로 반을 자른 후 씨를 도려낸다. 길이 4cm, 너비 1cm로 썰어낸다."
141,2,자몽은 아래 위를 조금씩 잘라내고 껍질과 과육 사이사이에 칼집을 넣은 뒤 곡선을 따라 껍질을 벗겨서 한 쪽씩 뗀다.
141,3,"샐러리는 섬유질을 벗기고 반 갈라서 길이 4cm 로 썰고, 오이는 씻어서 4cm 길이로 토막 내 썬 다음 길이로 4등분한다."
141,4,딸기는 흐르는 물에 씻은 후 4등분한다. 오렌지도 껍질을 제거해 과육을 분리해 놓는다.
141,5,"접시에 과일과 오이, 샐러리를 담고 오렌지 마요네즈를 곁들인다."
142,1,"훈제연어를 얇게 포 뜨고, 앤다이브는 한 잎씩 떼어 씻은 후 물기를 뺀다."
142,2,"트레비스는 손으로 뜯어서 찬물에 담갔다 건져 물기를 빼고, 양파는 얇게 링 모양으로 썰어서 찬물에 담가 매운맛을 없앤 뒤 건져서 물기를 뺀다."
142,3,다진 양파와 올리브오일을 섞어 드레싱을 만든다.
142,4,"접시에 훈제연어와 앤다이브, 트레비스를 담고 양파를 얹은 뒤 케이퍼를 뿌리고 양파드레싱을 곁들인다."
143,1,"금치의 연한 잎으로 준비하여 깨끗이 씻어서 물기를 빼고, 양송이 버섯은 껍질을 벗겨서 얇게 저며썬다."
143,2, 달군 팬에 베이컨을 구워 종이타월로 기름기를 닦아 내고 잘게 썬다.
143,3,시에 시금치 깔고 그위에 양송이버섯과 베이컨을 얹은 뒤 가루치즈를 뿌리고 레몬 드레싱을 곁들인다.
144,1,"감자, 당근은 껍질을 벗겨서 큼직하게 썰어 모서리를 다듬은 뒤 물에 씻어 건진다."
144,2,양파는 껍질을 벗겨서 씻은 후 반 잘라 큼직하게 썬다.
144,3,샐러리는 섬유질을 벗기고 3cm 길이로 어슷하게 썬다.
144,4,양송이는 기둥 끝을 약간 잘라내고 껍질을 벗겨 길이로 반 가른다.
144,5,"큼직하고 깊이가 있는 프라이팬에 버터를 두르고 감자, 당근, 양파를 넣고 볶다가 물을 부어서 끓인다. 끓기 시작하면 거품을 걷어내고 월계수잎을 넣은 후 감자가 반쯤 익을 때까지 끓인다."
144,6," 감자가 반쯤 익으면 샐러리와 양송이버섯, 홀토마토를 넣고 끓인다. 중간중간 거품을 걷고 불을 줄여서 채소가 푹 무를 때가지 끓여 소금과 후춧가루로 간을 해서 수프 그릇에 담는다."
145,1,햄은 0.5cm 두께로 썰어놓고 프랑크소시지는 반으로 가르고 베이컨은 4cm 길이로 썬다.
145,2,"김치는 속을 털어낸 뒤 4cm 길이로 썰고 두부는 0.5cm 두께로 썬다. 청고추, 홍고추는 어슷썰고 깻잎은 1cm 길이로 썰고 스파게티면은 삶아놓는다."
145,3,분량의 양념 재료를 섞어 양념장을 만든다.
145,4,전골냄비에 재료를 보기 좋게 돌려 담은 뒤 양념장을 넣어 섞고 끓으면 스파게티면을 넣고 푹 끓여낸다.
146,1,곱창 겉에 붙어 있는 기름을 떼어 낸 뒤 굵은 소금으로 세게 주무른 뒤 속을 훑어 내리며 물로 씻는다.
146,2,양은 굵은 소금과 밀가루로 문질러 씻은 뒤 끓는 물에 넣었다 꺼내어 검은 껍질과 안쪽의 얇은 막을 벗겨 낸다.
146,3,"대파는 10cm 길이로 썰고 생강은 껍질을 벗긴 후 얇게 저민다. 냄비에 물을 넣고 양과 곱창을 끓이다가, 곱창과 양을 건져놓고 육수는 식혀 기름기를 걷어낸다."
146,4,"당근, 양배추, 양파는 채썬다. 표고버섯은 미지근한 물에 불린 뒤 기둥을 떼어내고 채썬다."
146,5,미나리는 다듬어 4cm 길이로 썬다.
146,6,곱창과 양은 한 입 크기로 썰어 놓는다. 분량의 양념을 섞어 양념장을 만든다. 함께 버무려 전골냄비 가운데에 담고 썰어 놓은 야채를 돌려 담는다.
147,1,"아귀는 내장을 빼고 깨끗이 씻어 뼈째 토막 낸 뒤 가로 6cm, 세로 6cm 크기로 썰어 다시 씻는다."
147,2,미더덕은 소금물에 씻은 뒤 꼬치로 몸통을 찔러 물을 뺀다.
147,3,콩나물은 머리와 꼬리를 떼로 미나리는 5cm 길이로 썬다.
147,4,"대파는 두께 0.4cm로 어슷하게 썰고, 깻잎은 두께 0.7cm로 채썬다."
147,5,찹쌀가루와 물을 섞어 따로 둔다.
147,6,분량의 양념장 재료를 섞어 양념장을 만든다.
148,1,"볼에 강력분을 넣고 드라이이스트, 계란, 설탕, 소금을 넣고 미지근한 물을 부어 반죽한다."
148,2,반죽이 어느 정도 뭉쳐졌으면 평평한 곳으로 옮겨 손바닥으로 힘주어 반죽한 다음 어느 정도 매끄러워지면 실온에 두었던 버터와 우유를 조금씩 넣어 가며 치댄다.
148,3,반죽이 얇게 펴질 정도까지 충분이 치댄 다음 검은 깨를 섞는다.
148,4,반죽을 둥글려 윗면을 매끄럽게 한 뒤 볼에 넣는다. 젖은 천을 덮은 후 따뜻한 곳에 두어 1시간 동안 1차 발효를 시킨다.
148,5,"반죽을 꺼내어 두 덩이로 나누어 둥글린 다음, 이번에는 마른 천을 덮어 10분 정도 둔다."
148,6,반죽을 밀대로 펴서 22cm X 15cm 로 만든다.
149,1,삼겹살은 8cm 길이로 썰어낸 뒤 칼등으로 자근자근 두드린다.
149,2,"①에 소금, 생강즙, 후춧가루로 밑간을 하되 이때는 고기두께가 0.2cm 정도가 되게 한다. 고기두께가 얇으면 얇을수록 좋다."
149,3,붉은 고추는 반으로 갈라서 씨를 빼고 8cm 길이로 채썬다.
149,4,무순은 깨끗이 씻어 준비한다.
149,5,"찹쌀가루를 체에 밭친 후, ②의 고기를 양면에 묻혀 낸다."
149,6,⑤에 붉은 고추와 무순을 넣고 돌돌 말아낸 다음 꼬치로 고정시킨다. 고기가 얇으면 꼬치가 없어도 된다.
150,1,배추는 속대로 준비하여 씻어서 칼로 길이로썬다. 무는 넙적넙적하게 썬다.
150,2,쇠고기는 채썰어 양념에 버무린다. 굵은파는 어슷썬다.
150,3,냄비에 식용유를 두르고 양념한 쇠고기를 넣어 볶는다.
150,4,물을 넣고 된장과 고추장을 체에 걸러 푼다. 국물이 끓으면 배추와 무를 넣고 푹 끓인다.
150,5,굵은 파를 넣고 마늘을 넣어 끓여 소금으로 간을 맞춘다.
151,1,"멥쌀은 씻어서 충분히 불린 다음 물기를 빼고 소금을 넣어 반만 빻고, 나머지는 쑥을 넣어 곱게 빻는다."
151,2,대추는 물 10컵을 넣고 물이 없어질 때까지 끓인 뒤 체에 걸러 걸쭉한 대추고를 만든다.
151,3,①의 흰 멥쌀가루의 반은 뜨거운 물을 넣어 익반죽을 하고 나머지는 대추고를 넣어 반죽한다. 쑥을 넣은 멥쌀가루도 익반죽한다.
151,4,풋콩은 깨끗이 씻어 소금을 뿌리고 깨는 곱게 빻아 꿀을 넣어 버무린다.
151,5,녹두는 따뜻한 물에 불려 껍질을 벗긴 뒤 푹 쪄서소금을 넣고 믹서에 곱게 갈아 체에 내린다. 냄비에 녹두 고물과 설탕을 넣고 약한 불에서  볶은 뒤 계핏가루를 넣고 섞는다.
151,6,"반죽을 조금씩 떼어 각각의 소를 넣고 빚어, 솔잎을 깔아 준비한 찜통에서 30분간 찐다. 쪄낸 송편을 찬물에 헹궈 참기름을 바른다."
152,1,녹두는 따뜻한 물에 충분히 불린 후 손으로 비벼 껍질을 벗기고 물기를 뺀 뒤 믹서에 물을 넣고 곱게 간다.
152,2,돼지고기는 다진다. 분량의 양념 재료를 섞어 양념을 만든 후 돼지고기를 넣어 양념한다.
152,3,"느타리버섯은 끓는 물에 데쳐 물기를 짜서 손으로 찢어 두고, 석이버섯은 따뜻한 물에 불려 비벼 씻은 다음 곱게 채썬다. 대파는 어슷하게 썰어 낸다."
152,4,"갈아놓은 녹두를 소금, 후춧가루로 간을 해서 프라이팬에 식용유를 넉넉히 두르고 한 숟가락씩 얹어 지진다."
152,5,"느타리버섯을 전 가운데에 얹고 녹두반죽을 조금만 떠서 버섯 둘레에 얹고 돼지고기, 숙주, 석이버섯, 다진 파, 실고추를 전 위에 올린다."
152,6,전의 앞뒤를 노릇하게 지져낸다. 그릇에 담고 초간장을 곁들인다.
153,1,"쇠고기는 힘줄 없는 부위를 사용한다. 길이 6cm, 너비 1cm, 두께 0.4cm로 자른 다음, 칼집을 넣는다. 분량의 양념 재료로 양념장을 만들어 1/2 분량에 재웠다가 프라이팬에 익힌다."
153,2,"마른 표고버섯은 따뜻한 물에 불린 뒤 기둥을 떼어낸다. 표고버섯, 도라지, 당근, 오이는 너비 1cm, 길이 5cm, 두께 0.4cm로 자른다."
153,3,표고버섯은 남은 양념장에 버무린다.
153,4,도라지는 소금에 비벼 씻은 다음 헹구어낸다.
153,5,"프라이팬에 식용유를 두르고 표고버섯, 도라지, 당근, 오이를 각각 볶아내면서 소금과 참기름으로 간을 해준다."
153,6,산적꼬치에 준비된 재료를 색 맞추어 꽂은 다음 잣가루를 뿌려낸다.
154,1,토란은 껍질을 벗기고 큰 것은 2~4등분한다. 쌀뜨물에 소금을 약간 넣고 끓으면 토란을 넣고 살짝 삶아낸다.
154,2,"쇠고기는 끓는 물에 덩어리째 넣고 삶다가 다시마, 무를 넣어 푹 끓인다."
154,3,"어느정도 국물이 우러나면 건더기를 건지고 쇠고기, 무는 0.5cm 두께로 썰어 다진 마늘, 후춧가루, 참기름으로 양념한다."
154,4,사태국물을 다시 끓이다가 양념한 쇠고기와 무를 넣는다.
154,5,"④에 토란, 다시마를 넣고 국간장으로 간을 맞춘 다음 한소끔 끓여 낸다."
154,6,마지막에 어슷 썬 파를 넣는다.
155,1,쇠고기는 곱게 채썬다.
155,2,"목이버섯은 미온수에 불린 후 찬물로 헹구어 물기를 짜서 적당한 크기로 뜯고, 느타리버섯은 끓는 물에 데친 후 찬물에 헹구어 물기를 짠 후 손으로 찢는다."
155,3,실파는 4cm 길이로 썰고 홍고추는 씨를 털어 4cm 길이로 채썬다.
155,4,"분량의 양념 재료를 섞어 양념장을 만들고 양념장을 나누어 쇠고기, 느타리버섯, 목이버섯을 각각 양념한다."
155,5,전골냄비에 준비한 재료를 돌려 담고 물 3컵을 붓고 끓여 국간장과 소금으로 간을 맞춘다.
156,1,"고등어는 머리, 꼬리를 떼어내고 3cm 크기로 어슷썰어 내장을 뺀다."
156,2,"무는 2cm 두께로 썰어 큰 것은 4등분, 작은 것은 2등분하여 끓는 물에 데쳐낸다."
156,3,파는 3cm 길이로 어슷썬다.
156,4,냄비에 고등어와 무를 분량의 양념 재료로 만든 양념장의 2/3를 얹어 뚜껑을 덮고 조린다.
156,5,끓어 오르면 은근한 불에서 양념장을 숟가락으로 끼얹어 주며 조리다가 나머지 양념장을 끼얹어 센불에서 조린다.
156,6,고등어와 무를 그릇에 담고 파를 곁들인다.
157,1,끓는 물에 식용유 1큰술과 당면을 넣고 삶다가 투명하게 삶아지면 소쿠리에 밭쳐서 물에 한 번 헹궈 간장 2큰술과 참기름 1큰술에 무친다.
157,2,쇠고기는 기름기를 떼어내고 결 방향대로 곱게 채썰어 핏물을 뺀 다음 분량의 양념 재료로 쇠고기 양념을 만들어 재워둔다.
157,3,느타리버섯은 끓는 물에 소금을 약간 넣고 데쳐서 찬물에 헹군 뒤 물기를 꼭 짜서 가늘게 찢어 소금과 참기름에 버무린다.
157,4,"오이는 소금으로 문질러 씻은 뒤 4cm 길이로 돌려 깎아서 가늘게 채썰어 소금에 살짝 절이고 당근은 4cm 길이로 곱게 채썰고, 양파도 곱게 채썬다. 배는 껍질을 벗겨 씨를 도려낸 다음 4cm 길이로 채썰어서 색이 변하지 않도록 설탕물에 담가둔다."
157,5,"프라이팬에 느타리버섯, 오이, 당근, 쇠고기 순으로 소금과 후춧가루로 간하여 재빨리 볶아서 넓은 쟁반에 펴서 식힌다."
157,6,"큼직한 볼에 당면과 ⑤를 넣고 무쳐서 소금으로 간하고, 채썰어놓은 배와 통깨를 넣고 살살 무쳐서 접시에 담는다."
159,1,배추김치는 속을 털어내고 국물을 짠 후 2cm 두께로 채썬다.
159,2,"돼지고기를 채썰어 간장 1작은술, 청주 1큰술, 후춧가루 약간을  넣고 재워둔다."
159,3,"죽순, 양송이버섯은 모양대로 얇게 썰고 피망도 채썬다. 마른 고추를 어슷썰어 씨를 털어내고 대파, 마늘, 생강은 곱게 채썬다."
159,4,"프라이팬에 식용유를 두르고 충분히 달궈지면 마른 고추를  볶다가  대파, 마늘, 생강을 넣어 볶는다."
159,5,"④에 돼지고기를 넣어 센불에서 볶은 후 김치, 죽순, 양송이버섯을 넣어 같이 볶는다."
159,6,"⑤에  피망을 넣어 볶고 소금, 후춧가루로 간하고 참기름으로 마무리한다."
160,1,"닭고기는 깨끗이 씻어 앞뒤로 칼집을 넣어주고 소금, 후춧가루, 청주로 밑간을 해둔다."
160,2,분량의 양념 재료를 섞어 양념장을 만들고 ①에 버무려 30분 가량 재워둔다.
160,3,녹말가루와 튀김가루를 섞어 재워둔 닭고기에 묻히고 160℃의 기름에서 바삭하게 튀긴다.
161,1,오징어는 몸통과 다리를 분리하고 몸통은 소금을 뿌렸다가 껍질을 벗기고 다리는 곱게 다진다.
161,2,표고버섯은 밑동을 제거하고 두부는 면보에 싸서 물기를 짠다. 당면은 끓는 물에 데쳐 놓는다.
